,name,artist,api_id,api_name,api_artists
163,The End,Earl Grant,79Iwb8D1mlLHzyrTzuA3cw,The End,Earl Grant
164,Kisses Sweeter Than Wine,Jimmie Rodgers,2luRltDp0ZG4ORi3lA8NsB,Kisses Sweeter Than Wine,Jimmie Rodgers
165,Problems,Everly Brothers,4MbHwmdaADODyMQe4NlH3i,Problems,The Everly Brothers
166,Queen of the Hop,Bobby Darin,6GNzFswd2lirFJ2ocGCQQ5,Queen of the Hop,Bobby Darin
167,I Got Stung,Elvis Presley,0IDFXLMABcj61OKI3L05A0,I Got Stung,Elvis Presley
168,Are You Sincere,Andy Williams,6SW50CFLBpAWGDB0VtbTuW,Are You Sincere,Andy Williams
169,I Got a Feeling,Ricky Nelson,1asCFshazteZOYJ6gqv0Fj,I Got A Feeling - Remastered,Ricky Nelson
170,What Am I Living For,Chuck Willis,6eIEXINZt8rtgqEtOxP9ur,What Am I Living For,Chuck Willis
171,Johnny B Goode,Chuck Berry,2QfiRTz5Yc8DdShCxG1tB2,Johnny B. Goode,Chuck Berry
172,Summertime Blues,Eddie Cochran,3oAWTk92mZBxKBOKf8mR5v,Summertime Blues,Eddie Cochran
173,Fever,Peggy Lee,3aPlQWU07jGgyHaBHVS5TS,Fever,Peggy Lee
174,You Are My Destiny,Paul Anka,36Jxpbk3PlcDo9hSGiAsfU,You Are My Destiny,Paul Anka
175,Ballad of a Teenage Queen,Johnny Cash,5HwAaXDLVDgVcoGIjDRANK,Ballad of a Teenage Queen,Johnny Cash
176,It's Too Soon to Know,Pat Boone,2Qtk9KM37ibE5w3M6TQHV3,It's Too Soon To Know - Single Version,Pat Boone
177,Kewpie Doll,Perry Como,11Ej4OhmsRHZuT9LrS7zI1,Kewpie Doll (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),"Perry Como,Mitchell Ayres & His Orchestra,The Ray Charles Singers"
178,Sugar Moon,Pat Boone,6UM5WX0bgEkcv1CzKWyacv,Sugar Moon - Single Version,Pat Boone
179,Devoted to You,Everly Brothers,4FrMb1ckGBrhARbHySQKx5,Devoted to You,The Everly Brothers
180,Billy,Kathy Linden,2GS4JHiL3aOIgu2XN2GW8j,Billy,Kathy Linden
181,Guess Things Happen That Way,Johnny Cash,3ty6IIfuP0fXZ1XZDqQXmf,Guess Things Happen That Way,Johnny Cash
182,Breathless,Jerry Lee Lewis,2wXqK18OkGKTqGvFkX7a3B,Breathless,Jerry Lee Lewis
183,The Story of My Life,Marty Robins,4clgSeWHM9lzG2DBxITnY1,The Story of My Life,Marty Robbins & Orchestra
184,The Battle Of New Orleans,Johnny Horton,66eFGhs8LXeBgrXk0YgRJK,The Battle Of New Orleans,Johnny Horton
185,Mack The Knife,Bobby Darin,3E5ndyOfO6vFDEIE42HA8o,Mack the Knife,Bobby Darin
186,Lonely Boy,Paul Anka,4kh2S9hRpPvoF9JkwZcYGN,Lonely Boy,Paul Anka
187,Dream Lover,Bobby Darin,1KLpjQFgubHI3GkAICCNH3,Dream Lover,Bobby Darin
188,Put Your Head On My Shoulder,Paul Anka,2DpJ9T2RVRanZcYFHKOAfA,Put Your Head On My Shoulder,Paul Anka
189,Donna,Ritchie Valens,0VE4ayVlGs5DBoqOdgJ0Zv,Donna - Single Version,Ritchie Valens
190,Smoke Gets In Your Eyes,Platters,2vSxjnyrWrtxyfzO47EX6q,Smoke Gets In Your Eyes,The Platters
191,Charlie Brown,Coasters,6Q0aBakbTsjQO6iGdxmXlx,Charlie Brown,The Coasters
192,It's Just A Matter Of Time,Brook Benton,3UjVdOZBluypI9Qdc4IPsB,It's Just a Matter of Time - Rerecorded,Brook Benton
193,Lipstick On Your Collar,Connie Francis,5Y1GkapUCSqXvoAujohJL2,Lipstick On Your Collar,Connie Francis
194,A Big Hunk O' Love,Elvis Presley,6PUsG2iMvCjnPFLjydO1RR,A Big Hunk O' Love,Elvis Presley
195,(Now And Then There's) A Fool Such As I,Elvis Presley,53Wf6uVFYa1Ef1pltkA54Q,(Now and Then There's) A Fool Such as I,Elvis Presley
