index,artist
986,Kool & The Gang
987,Maria Muldaur
988,Al Wilson
989,David Essex
990,John Denver
991,Blue Magic
992,Blue Swede
992,Björn Skifs
993,Paul McCartney
993,Wings
994,Jim Croce
995,John Denver
996,Paul Anka
996,Odia Coates
997,Olivia Newton-John
998,Gordon Lightfoot
999,Andy Kim
1000,Eddie Kendricks
1001,Ringo Starr
1002,Olivia Newton-John
1003,Cher
1004,Gladys Knight & The Pips
1005,Roberta Flack
1006,Billy Preston
1007,George McCrae
1008,Carpenters
1009,Steve Miller Band
1010,Gladys Knight & The Pips
1011,Three Dog Night
1012,Hues Corporation
1013,Stevie Wonder
1014,Dionne Warwick
1015,Paper Lace
1016,ABBA
1017,The Hollies
1018,Steely Dan
1019,Carly Simon
1019,James Taylor
1020,Joni Mitchell
1021,Anne Murray
1022,Barry White
1023,Helen Reddy
1024,Kool & The Gang
1025,Johnny Bristol
1026,Mocedades
1027,Bachman-Turner Overdrive
1028,Golden Earring
1029,Bobby Womack
1030,The O'Jays
1031,Gladys Knight & The Pips
1032,Chicago
1033,Elton John
1034,Ringo Starr
1035,The O'Jays
1036,Eric Clapton
1037,Paul McCartney
1037,Wings
1038,Elton John
1039,Anne Murray
1040,Todd Rundgren
1041,Jim Croce
1042,Lamont Dozier
1043,Stevie Wonder
1044,Paul McCartney
1044,Wings
1045,First Class
1046,Olivia Newton-John
1046,Babyface
1047,Chicago
1049,Captain & Tennille
1050,Glen Campbell
1051,Elton John
1052,Frankie Valli
1053,Earth
1053, Wind & Fire
1054,David Bowie
1055,Neil Sedaka
1056,John Denver
1057,Bee Gees
1058,Minnie Riperton
1059,Carl Douglas
1060,The Doobie Brothers
1061,Janis Ian
1062,Average White Band
1063,Van McCoy
1064,Patti LaBelle
1065,Stevie Wonder
1066,Helen Reddy
1067,Ohio Players
1068,Carpenters
1069,America
1070,Elton John
1071,Barry Manilow
1072,Olivia Newton-John
1073,Barry Manilow
1074,Harry Chapin
1075,Wings
1076,10cc
1077,Billy Swan
1078,Linda Ronstadt
1079,Barry White
1080,Olivia Newton-John
1081,Linda Ronstadt
1082,Phoebe Snow
1083,Ace
1084,Earth
1084, Wind & Fire
1085,Styx
1086,Grand Funk Railroad
1087,Alice Cooper
1088,KC & The Sunshine Band
1089,Bad Company
1090,James Taylor
1091,Orleans
1092,Average White Band
1093,Gloria Gaynor
1094,Paul Anka
1094,Odia Coates
1095,Grand Funk Railroad
1096,The Three Degrees
1097,Eddie Kendricks
1098,Electric Light Orchestra
1099,America
1100,Tavares
1101,Jethro Tull
1102,Leo Sayer
1103,Elton John
1104,Ray Stevens
1105,Neil Sedaka
1106,Carpenters
1107,Ringo Starr
1108,Frankie Valli
1109,Wings
1110,Elton John
1110,Kiki Dee
1111,Johnnie Taylor
1112,Wild Cherry
1113,The Manhattans
